,,,,,,,Fastq Files,,,Cleaned Reads,,,MEGAHIT,,,,,,,,
host_subject_id,Comprimento médio dos reads (pb),Bases,host_subject_id,env_broad_scale,env_local_scale,env_medium,Bytes,Gb,Reads,Bytes,Reads,% retirada,N50 (resolução),num_seq (Nºtotal de contigs),sum_len (Profundidade),min_len (menor contig montado),avg_len (média do tamanho dos contigs),max_len (Maior contigs montado),Contigs_gt_1kb (Contigs maiores que 1000kb),,
SRR22244687,302,4441601580,AD19,human skin,Ac,missing,1025415913,"1,025415913",29414580,,1497602,"94,908640544927",619,3982,2320627,270,582.8,7084,402,,
SRR22244688,302,3219275304,AD21,human skin,Ac,missing,746718259,"0,746718259",21319704,,655878,"96,923606444067",533,2533,1321465,272,521.7,4103,124,,
SRR22244689,302,3399737216,AD24,human skin,Ac,missing,840875530,"0,84087553",22514816,,1890098,"91,6050923978237",986,13960,11631921,214,833.2,50533,2224,,
SRR22244690,302,4987438796,AD30,human skin,Ac,missing,1267654157,"1,267654157",33029396,,4517044,"86,3241701422575",681,8871,5816185,269,655.6,14881,1056,,
SRR22244691,302,4366135404,AD31,human skin,Ac,missing,1034888859,"1,034888859",28914804,,1282554,"95,5643690339385",2398,2490,3075736,272,1235.2,25584,790,,
SRR22244692,302,3450788202,AD32,human skin,Ac,missing,801114939,"0,801114939",22852902,,845330,"96,3009949458498",767,2987,2107261,270,705.5,51381,410,,
SRR22244693,302,4186225548,AD34,human skin,Ac,missing,1032254538,"1,032254538",27723348,,2954822,"89,3417562698416",732,12215,8411642,204,688.6,25729,1354,,
SRR22244694,302,3204107656,AD36,human skin,Ac,missing,738650624,"0,738650624",21219256,,995732,"95,3074132288144",400,2259,951073,272,421.0,2669,26,,
SRR22244695,302,2226076126,AD39,human skin,Ac,missing,507379305,"0,507379305",14742226,,522780,"96,4538598173709",452,1750,808798,270,462.2,3410,33,,
SRR22244696,302,6553055418,AD02,human skin,Ac,missing,1755608186,"1,755608186",43397718,,12295998,"71,6667175910033",806,24172,18656002,200,771.8,262487,1406,,
SRR22244698,302,3442243112,AD07,human skin,Ac,missing,780520818,"0,780520818",22796312,,1256806,"94,4868011983693",1811,4060,4079186,269,1004.7,28408,707,,
SRR22244700,302,704976720,AD10,human skin,Ac,missing,161522815,"0,161522815",4668720,,294952,"93,6823797529087",377,487,185330,205,380.6,2914,3,,
SRR22244702,302,4828985436,AD11,human skin,Ac,missing,1192013598,"1,192013598",31980036,,4660998,"85,4252884518329",605,23335,14220419,204,609.4,34442,2242,,
SRR22244704,302,4780300318,AD12,human skin,Ac,missing,1064527847,"1,064527847",31657618,,995680,"96,8548486496994",3108,1718,2866195,212,1668.3,44399,708,,
SRR22244706,302,4960931350,AD14,human skin,Ac,missing,1120851267,"1,120851267",32853850,,2238952,"93,185115290902",614,13351,8167271,205,611.7,20673,1275,,
SRR22244708,302,4565248836,AD15,human skin,Ac,missing,1064292055,"1,064292055",30233436,,2793894,"90,7589266400286",784,9550,7469446,220,782.1,572738,487,,
SRR22244710,302,2861489260,AD19,human skin,Ac,missing,620725118,"0,620725118",18950260,,929224,"95,0965105491956",433,2192,987994,269,450.7,7368,35,,
SRR22244712,302,4055548336,AD21,human skin,Ac,missing,905390156,"0,905390156",26857936,,715168,"97,3372190625519",428,742,329084,272,443.5,2177,12,,
SRR22244714,302,2933308484,AD24,human skin,Ac,missing,656309531,"0,656309531",19425884,,1602364,"91,7513972594503",777,12560,9165301,269,729.7,28058,1395,,
SRR22244716,302,3332798614,AD30,human skin,Ac,missing,785012631,"0,785012631",22071514,,2523244,"88,5678707858464",3101,3015,3609189,202,1197.1,40028,717,,
SRR22244718,302,4993518056,AD31,human skin,Ac,missing,1100507827,"1,100507827",33069656,,1375334,"95,8410997683193",653,4075,2451814,270,601.7,7908,468,,
SRR22244720,302,4874722430,AD32,human skin,Ac,missing,1139304166,"1,139304166",32282930,,2933040,"90,9145793148268",53253,686,3169147,200,4619.7,256612,91,,
SRR22244722,302,4046394112,AD34,human skin,Ac,missing,1150575046,"1,150575046",26797312,,11287254,"57,8791559392226",577,86375,51752410,200,599.2,223680,6437,,
SRR22244724,302,3366965384,AD36,human skin,Ac,missing,749080456,"0,749080456",22297784,,1517418,"93,1947587257998",448,5731,2668473,269,465.6,4090,168,,
SRR22244725,302,3800769660,AD39,human skin,Ac,missing,868184749,"0,868184749",25170660,,1041024,"95,8641370548091",1951,2742,3146879,269,1147.7,20246,854,,
SRR22244727,302,4050238874,AD40,human skin,Ac,missing,894211159,"0,894211159",26822774,,781644,"97,0858942479253",453,1771,821835,269,464.1,4154,42,,
SRR22244729,302,3746052696,AD41,human skin,Ac,missing,819561115,"0,819561115",24808296,,751328,"96,9714647068062",569,3064,1692287,271,552.3,5683,217,,
SRR22244731,302,3951194652,AD42,human skin,Ac,missing,897521071,"0,897521071",26166852,,1879834,"92,8159719021608",53839,1586,3548182,203,2237.2,243985,115,,
SRR22244732,302,4263835320,AD43,human skin,Ac,missing,940240087,"0,940240087",28237320,,979994,"96,529436929567",878,3379,2476967,272,733.0,6285,653,,
SRR22244734,302,3411259724,AD04,human skin,Ac,missing,752455391,"0,752455391",22591124,,634476,"97,191481043617",437,1466,661940,284,451.5,3541,28,,
SRR22244736,302,2521834692,AD13,human skin,Ac,missing,558369801,"0,558369801",16700892,,967938,"94,2042736399948",580,7210,4067278,200,564.1,4233,591,,
SRR22244738,302,5184402290,AD37,human skin,Ac,missing,1164818098,"1,164818098",34333790,,1043704,"96,9601258701705",435,2152,955328,269,443.9,2320,34,,
,,,,,,,,,,,,,Bons (<=1000),,,,,,,,
